MSC OVERALL RESULT STRUCTURE OVER THE YEARS - SAMEER BANCHHOR							
Course	Batch	Exam	Session Roll No	Year	College Code	Course Code	Roll Number
MSC Chemistry	B1	Dec-Jan 2018-19	40118093017	18	401	093	17
MSC Chemistry	B2	Dec-Jan 2019-20	19401093001	19	401	093	1
MSC Chemistry	B3	Dec-Jan 2020-21	20330093006	20	330	093	6
MSC Chemistry	B4	Dec-Jan 2021-22	21334093009	21	334	093	9
MSC Chemistry	B5	Dec-Jan 2022-23	233340930009	23	334	093	9
MSC Chemistry	B6	Dec-Jan 2023-24	2430977010	24	309	77	10
MSC Chemistry	B7	Dec-Jan 2024-25	2533477001	25	334	77	1
							
MSC Botany	B1	Dec-Jan 2018-19	33318073001	18	333	073	1
MSC Botany	B2	Dec-Jan 2019-20	19333073001	19	333	073	1
MSC Botany	B3	Dec-Jan 2020-21	20334073009	20	334	073	9
MSC Botany	B4	Dec-Jan 2021-22	21302073009	21	302	073	9
MSC Botany	B5	Dec-Jan 2022-23	233020730001	23	302	073	1
MSC Botany	B6	Dec-Jan 2023-24	2433362003	24	333	62	3
MSC Botany	B7	Dec-Jan 2024-25	2511162027	25	111	62	27
							
MSC Zoology	B1	Dec-Jan 2018-19	33418077001	18	334	077	1
MSC Zoology	B2	Dec-Jan 2019-20	19334077001	19	334	077	1
MSC Zoology	B3	Dec-Jan 2020-21	20334077007	20	334	077	7
MSC Zoology	B4	Dec-Jan 2021-22	21515077003	21	515	077	3
MSC Zoology	B5	Dec-Jan 2022-23	233310770015	23	331	077	15
MSC Zoology	B6	Dec-Jan 2023-24	2433363006	24	333	63	6
MSC Zoology	B7	Dec-Jan 2024-25	2533163014	25	331	63	14
							
MSC Mathematics	B1	Dec-Jan 2018-19	33318081019	18	333	081	19
MSC Mathematics	B2	Dec-Jan 2019-20	19333081001	19	333	081	1
MSC Mathematics	B3	Dec-Jan 2020-21	20339081010	20	339	081	10
MSC Mathematics	B4	Dec-Jan 2021-22	21303081014	21	303	081	14
MSC Mathematics	B5	Dec-Jan 2022-23	233340810003	23	334	081	3
MSC Mathematics	B6	Dec-Jan 2023-24	2433364008	24	333	64	8
MSC Mathematics	B7	Dec-Jan 2024-25	2533364001	25	333	64	1
							
MSC Microbiology	B1	Dec-Jan 2018-19	33418101004	18	334	101	4
MSC Microbiology	B2	Dec-Jan 2019-20	19334101001	19	334	101	1
MSC Microbiology	B3	Dec-Jan 2020-21	20335101013	20	335	101	13
MSC Microbiology	B4	Dec-Jan 2021-22	21339101007	21	339	101	7
MSC Microbiology	B5	Dec-Jan 2022-23	233381010004	23	338	101	4
MSC Microbiology	B6	Dec-Jan 2023-24	2433582005	24	335	82	5
MSC Microbiology	B7	Dec-Jan 2024-25	2533582005	25	335	82	5
							
MSC Biotechnology	B1	Dec-Jan 2018-19	33418089005	18	334	089	5
MSC Biotechnology	B2	Dec-Jan 2019-20	19334089001	19	334	089	1
MSC Biotechnology	B3	Dec-Jan 2020-21	20334089002	20	334	089	2
MSC Biotechnology	B4	Dec-Jan 2021-22	21334089001	21	334	089	1
MSC Biotechnology	B5	Dec-Jan 2022-23	233340890003	23	334	089	3
MSC Biotechnology	B6	Dec-Jan 2023-24	2433768016	24	337	68	16
MSC Biotechnology	B7	Dec-Jan 2024-25	2533768001	25	337	68	1
							
MSC Home Science (Human Development)	B6	Dec-Jan 2023-24	2430280006	24	302	80	6
MSC Home Science (Human Development)	B7	Dec-Jan 2024-25	2530280001	25	302	80	1
							
MSC Home Science (Food & Nutrition)	B6	Dec-Jan 2023-24	2430285009	24	302	85	9
MSC Home Science (Food & Nutrition)	B7	Dec-Jan 2024-25	2530285001	25	302	85	1
							
MSC Home Science (Textile & Clothing)	B6	Dec-Jan 2023-24	2433383002	24	333	83	2
MSC Home Science (Textile & Clothing)	B7	Dec-Jan 2024-25	2533383001	25	333	83	1
							
MSC Physics	B1	Dec-Jan 2018-19	33118085001	18	331	085	1
MSC Physics	B2	Dec-Jan 2019-20	19331085001	19	331	085	1
MSC Physics	B3	Dec-Jan 2020-21	20331085001	20	331	085	1
MSC Physics	B4	Dec-Jan 2021-22	21331085001	21	331	085	1
MSC Physics	B5	Dec-Jan 2022-23	233310850001	23	331	085	1
MSC Physics	B6	Dec-Jan 2023-24	2433167001	24	331	67	1
MSC Physics	B7	Dec-Jan 2024-25	2533167001	25	331	67	1
							
MSC Computer Science	B1	Dec-Jan 2018-19	33118097001	18	331	097	1
MSC Computer Science	B2	Dec-Jan 2019-20	19331097001	19	331	097	1
MSC Computer Science	B3	Dec-Jan 2020-21	20331097001	20	331	097	1
MSC Computer Science	B4	Dec-Jan 2021-22	21331097001	21	331	097	1
MSC Computer Science	B5	Dec-Jan 2022-23	233310970001	23	331	097	1
MSC Computer Science	B6	Dec-Jan 2023-24	2433181001	24	331	081	1
MSC Computer Science	B7	Dec-Jan 2024-25	2533181001	25	331	081	1
